profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_base_k,tb_humid_k,tb_dry_k,dTb_humid_k,dTb_dry_k,nedt_k,humid_ratio,dry_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
15,t01_loc07,2020-01-01T06:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,54.4,231.38863991689573,231.38762630971746,231.38964733535022,-0.0010136071782653744,0.0010074184544919262,0.7,0.0014480102546648207,0.0014391692207027518,277.2374267578125,194.32940673828125,278.7073974609375,239.92604559821052,4.656551701597529e-06,0.007304263922863749
16,t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,50.3,271.3823541965721,271.3765446952568,271.3880747093015,-0.005809501315297894,0.005720512729396887,0.3,0.019365004384326312,0.01906837576465629,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,4.676302725405363e-06,0.007247282996419397
16,t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,52.8,260.6437072178824,260.63967361460436,260.647688217665,-0.004033603278060127,0.003980999782584149,0.5,0.008067206556120254,0.007961999565168298,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,4.676302725405363e-06,0.007247282996419397
16,t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,54.4,231.61968637970278,231.61876649969102,231.6205994488385,-0.0009198800117644623,0.0009130691357199794,0.7,0.0013141143025206606,0.0013043844795999706,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,4.676302725405363e-06,0.007247282996419397
17,t02_loc01,2020-01-01T12:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,50.3,271.44672330862255,271.4408154292762,271.4525423132446,-0.005907879346352729,0.005819004622026114,0.3,0.019692931154509097,0.01939668207342038,278.0906982421875,195.54945373535156,281.1779479980469,239.7505530280036,4.676583483280417e-06,0.007218661086740279
17,t02_loc01,2020-01-01T12:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,52.8,260.67279167640197,260.6686791256297,260.6768513271169,-0.004112550772276791,0.004059650714907548,0.5,0.008225101544553581,0.008119301429815096,278.0906982421875,195.54945373535156,281.1779479980469,239.7505530280036,4.676583483280417e-06,0.007218661086740279
17,t02_loc01,2020-01-01T12:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,54.4,231.61144442338397,231.6105086455275,231.61237326417614,-0.0009357778564833552,0.0009288407921701491,0.7,0.001336825509261936,0.0013269154173859274,278.0906982421875,195.54945373535156,281.1779479980469,239.7505530280036,4.676583483280417e-06,0.007218661086740279
18,t02_loc02,2020-01-01T12:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,50.3,271.53088279655145,271.524920323313,271.5367633490011,-0.0059624732384691015,0.005880552449639254,0.3,0.019874910794897005,0.019601841498797512,278.2235107421875,194.28968811035156,280.74688720703125,239.90896730165224,4.6741034553875e-06,0.007211699153997038
18,t02_loc02,2020-01-01T12:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,52.8,260.69226209994866,260.68807624398323,260.696398341631,-0.004185855965431529,0.004136241682317632,0.5,0.008371711930863057,0.008272483364635264,278.2235107421875,194.28968811035156,280.74688720703125,239.90896730165224,4.6741034553875e-06,0.007211699153997038
18,t02_loc02,2020-01-01T12:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,54.4,231.58328763236668,231.5823298882574,231.58423861368476,-0.0009577441092858408,0.000950981318084132,0.7,0.001368205870408344,0.0013585447401201886,278.2235107421875,194.28968811035156,280.74688720703125,239.90896730165224,4.6741034553875e-06,0.007211699153997038
19,t02_loc03,2020-01-01T12:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,50.3,271.5252937970546,271.51938028649596,271.5311239503802,-0.005913510558627877,0.0058301533256326366,0.3,0.019711701862092923,0.019433844418775457,278.2020263671875,194.63734436035156,281.01446533203125,239.85897785908466,4.675460451780789e-06,0.007201643134888943
